#{"t_start": 1764699795.7484922, "env_id": "None"}
r,l,t
-16.02,199,1771.310523
74.04,502,1817.469464
9.96,298,1817.70902
-16.06,197,1817.860527
-15.76,212,1818.047547
-16.0,200,1818.199704
75.86,593,1818.648299
35.32,366,1818.944345
9.66,283,1819.173922
-16.02,199,1819.373937
-15.98,201,1819.538952
-15.94,203,1819.694991
9.48,274,1819.890032
-16.12,194,1820.030046
-15.78,211,1820.20506
35.12,356,1820.526124
-15.82,209,1849.518201
-16.02,199,1849.663712
11.0,350,1849.924814
23.36,368,1850.184343
-2.56,272,1862.944658
48.76,438,1863.254882
-16.08,196,1863.410783
10.16,308,1863.654796
-3.94,203,1863.816542
-15.72,214,1863.982058
48.5,425,1864.327585
-15.76,212,1864.471316
61.84,492,1864.865241
9.58,279,1893.508574
-3.76,212,1893.687584
-3.68,216,1893.844615
-3.84,208,1893.991123
35.68,384,1894.275174
23.38,369,1894.549696
9.3,265,1894.782655
24.26,413,1911.987529
-2.02,299,1912.215548
-2.28,286,1912.411925
-2.7,265,1912.602803
-15.96,202,1912.758816
-16.04,198,1912.924327
-16.04,198,1913.105222
23.32,366,1913.372883
-2.44,278,1942.680799
-16.06,197,1942.857816
-3.6,220,1943.023926
-15.94,203,1943.198454
35.64,382,1943.518903
-15.76,212,1943.677433
-3.74,213,1943.855606
-2.4,280,1944.073232
9.78,289,1944.312246
-16.0,200,1944.456272
22.2,310,1944.692814
-16.06,197,1944.83032
-15.94,203,1954.600717
-15.94,203,1954.75174
-15.92,204,1954.905248
-2.3,285,1955.201298
9.72,286,1955.419312
37.14,457,1985.566637
-15.92,204,1985.718143
62.92,546,1986.122195
-15.88,206,1986.265207
9.48,274,1986.454735
-15.88,206,1986.620278
-15.78,211,1986.795157
-16.0,200,1986.930668
-16.02,199,1987.072732
151.22,761,1987.656894
-15.92,204,1987.854432
-2.4,280,1988.070446
9.56,278,1990.826099
9.48,274,2019.571625
73.84,492,2020.007179
113.3,665,2020.49316
-16.0,200,2020.632943
9.68,284,2020.850962
-15.9,205,2020.988975
75.56,578,2021.399555
73.86,493,2021.775237
9.46,273,2021.995411
-15.86,207,2022.162666
-15.96,202,2022.306677
-15.98,201,2022.461185
281.48,1274,2054.630482
37.06,453,2054.95753
182.44,1122,2055.918146
23.0,350,2056.184666
9.26,263,2056.408192
9.5,275,2056.624779
139.64,782,2086.328713
-2.36,282,2086.531745
86.5,525,2086.937124
62.12,506,2087.320167
-3.84,208,2088.4675
191.86,993,2089.333188
9.92,296,2089.55521
48.6,430,2089.871472
74.66,533,2090.269504
115.46,773,2119.537569
-16.2,190,2119.677076
192.28,1014,2120.489536
100.9,645,2135.452358
37.12,456,2135.803081
35.38,369,2136.10078
9.58,279,2136.305207
63.16,558,2165.027088
36.3,415,2165.352126
-15.88,206,2165.52014
50.7,535,2165.931723
63.58,579,2166.35512
-16.1,195,2166.517135
100.86,643,2167.046521
88.68,634,2167.569228
-16.08,196,2174.257611
335.94,1597,2204.400089
35.4,370,2204.681197
23.32,366,2204.97024
23.08,354,2205.256765
99.98,599,2205.777866
9.44,272,2206.004897
75.2,560,2206.518442
438.72,1936,2246.136344
401.46,1873,2247.610103
-15.98,201,2247.787116
24.94,447,2248.150893
-15.94,203,2278.016624
-15.92,204,2278.184638
9.5,275,2278.739456
155.1,955,2288.5588
150.38,719,2289.513455
326.64,1732,2291.233896
242.94,1147,2328.304425
203.32,966,2329.148046
-16.0,200,2340.320487
35.38,369,2340.627133
-3.84,208,2340.840681
35.56,378,2341.193721
189.34,867,2341.998026
164.32,816,2395.118855
61.28,464,2395.955298
218.1,1105,2397.913455
-15.94,203,2398.26815
-15.96,202,2398.615206
100.08,604,2421.00102
74.52,526,2421.984291
127.68,784,2496.102329
23.26,363,2496.763339
24.42,421,2497.552086
386.48,1724,2500.892331
10.58,329,2501.529374
10.24,312,2502.140575
103.02,751,2589.815146
114.78,739,2591.188599
348.98,1649,2594.228721
-2.38,281,2594.754837
62.62,531,2595.777945
88.96,648,2597.011048
36.9,445,2668.969368
-2.86,257,2697.819145
90.12,706,2699.121107
-15.92,204,2699.484076
60.8,440,2700.263837
23.3,365,2700.904989
-2.46,277,2701.395585
73.08,454,2702.212656
35.9,395,2702.890878
22.8,340,2703.48944
11.6,380,2746.339514
9.44,272,2746.559337
9.62,281,2746.844682
-2.06,297,2747.119138
-15.7,215,2747.342747
-16.08,196,2747.516781
48.92,446,2766.946755
-16.28,186,2767.098997
-15.8,210,2767.296623
-3.54,223,2767.506722
9.36,268,2767.809385
48.92,446,2768.208727
154.48,924,2803.591098
50.04,502,2804.078135
36.7,435,2804.456774
-3.72,214,2804.630869
-15.88,206,2804.836104
24.2,410,2805.171758
-15.78,211,2805.348111
-15.8,210,2805.545016
9.62,281,2824.38726
23.66,383,2824.759307
35.76,388,2825.290473
49.82,491,2826.288824
34.86,343,2901.170749
101.62,681,2902.400777
48.78,439,2903.283662
21.88,294,2903.880727
-2.54,273,2904.382095
23.26,363,2905.058084
63.48,574,2906.109048
35.04,352,2906.799539
-16.0,200,2907.152566
50.34,517,2949.738709
168.7,1035,3032.270851
23.36,368,3032.959219
287.24,1562,3036.199458
10.12,306,3036.797341
130.78,939,3038.360377
145.24,1062,3111.579817
141.4,870,3114.003217
24.1,405,3114.466976
-16.06,197,3114.702997
-3.7,215,3114.953763
127.1,755,3115.795581
-3.62,219,3116.039645
116.32,816,3165.225981
-3.46,227,3165.499885
9.78,289,3165.84272
23.78,389,3185.92056
128.12,806,3186.852778
50.94,547,3187.435085
37.04,452,3187.919122
-2.78,261,3188.187148
-2.54,273,3188.454204
36.6,430,3188.938455
143.3,965,3233.6108
75.34,567,3234.262379
-2.6,270,3234.508746
-16.0,200,3234.705491
76.06,603,3254.993666
-15.82,209,3255.235679
118.36,918,3256.206559
10.04,302,3256.557431
35.54,377,3303.514323
153.58,879,3304.533331
103.38,769,3305.362887
49.16,458,3305.849553
63.68,584,3306.456548
11.24,362,3328.314516
130.38,919,3329.385738
10.62,331,3376.941289
-15.66,217,3377.205377
-3.52,224,3377.431587
48.7,435,3377.954882
10.14,307,3378.264163
21.88,294,3378.613002
-15.82,209,3378.892095
139.32,766,3379.760745
127.5,775,3380.635286
22.2,310,3397.563838
180.04,1002,3444.522133
74.52,526,3445.076836
-3.6,220,3445.284878
23.44,372,3445.67128
60.98,449,3446.174192
23.46,373,3446.559333
-3.68,216,3446.788615
-15.92,204,3447.018519
21.62,281,3447.343849
125.7,685,3448.144347
35.76,388,3494.393023
-15.64,218,3494.596424
-16.02,199,3518.175789
-3.5,225,3518.424902
-2.42,279,3518.746437
-2.5,275,3519.032637
177.54,877,3520.012201
35.74,387,3520.469494
-15.88,206,3520.765915
-2.44,278,3521.079569
